Horizon,Execution Time (seconds)
1,3.3372608
2,5.042271499999999
3,6.325355399999999
4,7.746064299999999
5,8.9713925
6,11.955604199999996
7,14.3739104
8,16.208779899999996
9,18.295852999999994
10,21.692809899999986
11,27.494029600000005
12,34.74358050000001
13,45.9114735
14,38.9545909
15,46.043767100000025
16,46.12690679999997
17,49.09109330000001
18,52.47928059999998
19,57.74369820000004
20,57.80749220000007
21,66.20289580000008
22,79.89849670000001
23,73.0479729000001
24,79.37460740000006
25,85.10562650000008
26,90.93562559999998
27,98.08982650000007
28,111.02614400000016
29,117.30245500000001
30,121.97539380000012
