Horizon,Execution Time (seconds)
1,3.2764156
2,5.039696599999999
3,6.3233792
4,7.790555699999999
5,9.323933400000001
6,11.989386199999998
7,14.570819399999998
8,16.3183273
9,18.563921899999997
10,21.367408600000005
11,26.968756700000014
12,33.3377117
13,46.306067299999995
14,38.84998440000001
15,45.45279450000004
16,47.999692100000004
17,48.80490420000001
18,52.6839238
19,56.07858749999997
20,61.043906100000015
21,68.108519
22,73.76890179999998
23,77.62109510000005
24,83.91894960000002
25,89.0244328
26,97.8753739
27,104.73766230000001
28,115.13875120000012
29,123.52486639999984
30,131.42712289999986
